"Authors","Author full names","Author(s) ID","Titles","Year","Source title","DOI","Cited by","Link","Abstract","Author Keywords","Document Type","Source"
"Karthik Pai B.H.; Pai V.; Devidas; Deeksh S.N.; Rao R.","Karthik Pai, B.H. (57214719472); Pai, Vasudeva (57202778194); Devidas (57210970005); Deeksh, S.N. (57211600136); Rao, Rahul (57211606723)","57214719472; 57202778194; 57210970005; 57211600136; 57211606723","A prologue of git and SVN","2019","International Journal of Engineering and Advanced Technology","10.35940/ijeat.A9451.109119","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074576507&doi=10.35940%2fijeat.A9451.109119&partnerID=40&md5=1f990c9c70ceacc9fb34efa20ba4de39","Version Control Software or Revision Control Software are the most important things in the world of software development. In this paper, we have described two version control tools: Git and Apache Subversion. Git comes as free and open source code management and version control system which is disseminated with the GNU general public license. Apache Subversion abbreviated as SVN is one amongst a software versioning and revision control systems given as open source under Apache License. Git design, its functionality, and usage of Git and SVN are discussed in this paper. The goal of this research paper is to accentuate on GIT and SVN tools, evaluate and compare five version control tools to ascertain their usage and efficacy. © BEIESP.","Control tools; Git; SVN; Version Control","Article","Scopus"
"Subhani S.","Subhani, Sohail (57469826700)","57469826700","Is Open Source Software the Future of Software Development?","2020","International Journal of Business","10.30845/ijbht.v10n1p2","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125383930&doi=10.30845%2fijbht.v10n1p2&partnerID=40&md5=c9739bc87df584ee7635f0a51e6ea58e","Just a few years ago, it would have been difficult to envision that open source software applications could seriously threaten closed source or proprietary software industry. But as we look at the existing software development landscape, it becomes vividly clear that the open source software movement is gathering momentum and poses a serious challenge to the proprietary software industry. The infrastructure of the internet, such as mail servers, web servers, and FTP servers is largely based on open source applications. Apache servers, representing sixty percent of the web servers on the internet, is currently the number one web server; Send mail controls forty percent of the e-mail servers. My SQL's market share is growing faster than Microsoft's SQL server and Access databases. Even large technology companies such as IBM, Intel, and Sun have started to support open source development with the expectation of enhancing their hardware sales. In view of the evidence, it is hard to refute the fact that the open source philosophy will dominate the software development environment of the future. In order to assess the viability of the open source software development, this paper examines factors contributing to the growth of the open source movement and also looks at the adequacy of the open source business model. © 2020. All Rights Reserved.","Open Source Software; Proprietary Software; Software Development","Article","Scopus"
"Comino S.; Manenti F.M.; Parisi M.L.","Comino, Stefano (8578610100); Manenti, Fabio M. (35997145900); Parisi, Maria Laura (22981096300)","8578610100; 35997145900; 22981096300","From planning to mature: On the success of open source projects","2007","Research Policy","10.1016/j.respol.2007.08.003","75","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36048986346&doi=10.1016%2fj.respol.2007.08.003&partnerID=40&md5=6d32600f352038497ca2707381b865e6","Open source is an example of user-centric innovation initiated by an individual or group of users to satisfy their specific needs; the more a software evolves towards a stable release able to address the requirements of its developers, the more successful the project. In this paper we use a large data-set obtained from SourceForge.net to estimate the relationship between a series of different characteristics of OS projects and the probability of evolution of the source code from a preliminary release to a mature version. We show that while projects distributed under highly restrictive licensing terms (GPL) have a significantly smaller probability of reaching a stable release, applications towards sophisticated users have a larger probability of evolving in the development status. Interestingly, we find that the size of the ""community of developers"" increases the chances of progress but this effect decreases as the community gets larger, a signal of possible coordination problems. © 2007 Elsevier B.V. All rights reserved.","Development status; Intended audience; License; Open source software; Software market","Article","Scopus"
"Amrollahi A.; Khansari M.; Manian A.","Amrollahi, Alireza (56258799900); Khansari, Mohammad (36613129200); Manian, Amir (35113563700)","56258799900; 36613129200; 35113563700","Success of Open Source in Developing Countries: The Case of Iran","2014","International Journal of Open Source Software and Processes","10.4018/ijossp.2014010103","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996569854&doi=10.4018%2fijossp.2014010103&partnerID=40&md5=722192dbd7975c3c40d84f5bf535e4aa","Open Source approach has been recognized as one of the best methods for software development in developing countries. Previous research however underemphasized different aspects of Open Source Software (OSS) success in context of developing countries compared to western context. In this research the authors use exploratory mixed methodology to study measures of and factors affecting OSS success with emphasize on the social and cultural context of Iran. In the qualitative section of the research 13 interviews with experts of the field have been conducted and the result is reflected in the research model. In the quantitative section, five research hypotheses have been evaluated by using data of 109 Iranian projects from sourceforge.net repository. The results indicate that the license type and use of project management tools may affect the success of OSS. The authors finally conclude that OSS research especially in the field of OSS success may lead to different findings in different contexts. © 2014, IGI Global. All rights reserved.","Developing Countries; Mixed Method; Open Source; Open Source License; Open Source Project Management Tools; Open Source Success","Article","Scopus"
"Wasserman A.I.","Wasserman, Anthony I. (7102134728)","7102134728","Community and commercial strategies in open source software / gemeinschafts- und kommerzielle strategien in der open-source-softwarewelt","2013","IT - Information Technology","10.1515/itit.2013.1003","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062509689&doi=10.1515%2fitit.2013.1003&partnerID=40&md5=44e0cf8fb2a8ce5b9e53670e18837b50","Summary: This paper describes the recent evolution of business strategies used by companies offering products and services based on free and open source software (FOSS). The primary focus is on companies that develop and release products under an open source license. The paper compares their practices with traditional proprietary software companies and with community-based open source projects, and identifies growing overlaps between the different kinds of software companies. Finally, the paper describes the likely impact of recent technology developments in mobile and cloud computing on open source software and related business.  © 2013 Oldenbourg Wissenschaftsverlag GmbH, Rosenheimer Str. 145, 81671 München.","Acm css; Collaboration in software development; Floss; Foss; Open source model; Open source software; Software and its engineering; Software business; Software creation and management","Article","Scopus"
"Cao Y.; Wang Y.; Zheng X.; Li F.; Bo X.","Cao, Yang (55580536000); Wang, Yuanyuan (56741587700); Zheng, Xiaofei (7404091418); Li, Fei (56874986800); Bo, Xiaochen (7005391024)","55580536000; 56741587700; 7404091418; 56874986800; 7005391024","RevEcoR: An R package for the reverse ecology analysis of microbiomes","2016","BMC Bioinformatics","10.1186/s12859-016-1088-4","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984653407&doi=10.1186%2fs12859-016-1088-4&partnerID=40&md5=6edac424aeb4f6fd297f84fec3bcfa5e","Background: All species live in complex ecosystems. The structure and complexity of a microbial community reflects not only diversity and function, but also the environment in which it occurs. However, traditional ecological methods can only be applied on a small scale and for relatively well-understood biological systems. Recently, a graph-theory-based algorithm called the reverse ecology approach has been developed that can analyze the metabolic networks of all the species in a microbial community, and predict the metabolic interface between species and their environment. Results: Here, we present RevEcoR, an R package and a Shiny Web application that implements the reverse ecology algorithm for determining microbe-microbe interactions in microbial communities. This software allows users to obtain large-scale ecological insights into species' ecology directly from high-throughput metagenomic data. The software has great potential for facilitating the study of microbiomes. Conclusions: RevEcoR is open source software for the study of microbial community ecology. The RevEcoR R package is freely available under the GNU General Public License v. 2.0 at http://cran.r-project.org/web/packages/RevEcoR/with the vignette and typical usage examples, and the interactive Shiny web application is available at http://yiluheihei.shinyapps.io/shiny-RevEcoR, or can be installed locally with the source code accessed from https://github.com/yiluheihei/shiny-RevEcoR. © 2016 Cao et al.","Metabolic network; Microbiome; Reverse ecology","Article","Scopus"
"Mooij J.M.","Mooij, Joris M. (9943022800)","9943022800","Libdai: A free and open source C++ library for discrete approximate inference in graphical models","2010","Journal of Machine Learning Research","","176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956951736&partnerID=40&md5=e08d6711cdd846c5fd2d3d9d1680e82a","This paper describes the software package libDAI, a free & open source C++ library that provides implementations of various exact and approximate inference methods for graphical models with discrete-valued variables. libDAI supports directed graphical models (Bayesian networks) as well as undirected ones (Markov random fields and factor graphs). It offers various approximations of the partition sum, marginal probability distributions and maximum probability states. Parameter learning is also supported. A feature comparison with other open source software packages for approximate inference is given. libDAI is licensed under the GPL v2+ license and is available at http://www.libdai.org. © 2010.","Approximate inference; Bayesian networks; Factor graphs; Markov random fields; Open source software; Probabilistic graphical models","Article","Scopus"
"Butler S.; Gamalielsson J.; Lundell B.; Brax C.; Sjoberg J.; Mattsson A.; Gustavsson T.; Feist J.; Lonroth E.","Butler, Simon (57203032212); Gamalielsson, Jonas (6506812796); Lundell, Bjorn (7004530817); Brax, Christoffer (25654534300); Sjoberg, Johan (57202891658); Mattsson, Anders (36899074500); Gustavsson, Tomas (57208024075); Feist, Jonas (55508021700); Lonroth, Erik (57194282770)","57203032212; 6506812796; 7004530817; 25654534300; 57202891658; 36899074500; 57208024075; 55508021700; 57194282770","On Company Contributions to Community Open Source Software Projects","2021","IEEE Transactions on Software Engineering","10.1109/TSE.2019.2919305","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068577239&doi=10.1109%2fTSE.2019.2919305&partnerID=40&md5=57e3a15df8bf3b2edd74e410ce356cdd","The majority of contributions to community open source software (OSS) projects are made by practitioners acting on behalf of companies and other organisations. Previous research has addressed the motivations of both individuals and companies to engage with OSS projects. However, limited research has been undertaken that examines and explains the practical mechanisms or work practices used by companies and their developers to pursue their commercial and technical objectives when engaging with OSS projects. This research investigates the variety of work practices used in public communication channels by company contributors to engage with and contribute to eight community OSS projects. Through interviews with contributors to the eight projects we draw on their experiences and insights to explore the motivations to use particular methods of contribution. We find that companies utilise work practices for contributing to community projects which are congruent with the circumstances and their capabilities that support their short- and long-term needs. We also find that companies contribute to community OSS projects in ways that may not always be apparent from public sources, such as employing core project developers, making donations, and joining project steering committees in order to advance strategic interests. The factors influencing contributor work practices can be complex and are often dynamic arising from considerations such as company and project structure, as well as technical concerns and commercial strategies. The business context in which software created by the OSS project is deployed is also found to influence contributor work practices.  © 1976-2012 IEEE.","company contribution; Open source software; work practices","Article","Scopus"
"Kapitsaki G.M.; Tselikas N.D.; Foukarakis I.E.","Kapitsaki, Georgia M. (24801845800); Tselikas, Nikolaos D. (6506637365); Foukarakis, Ioannis E. (6506714187)","24801845800; 6506637365; 6506714187","An insight into license tools for open source software systems","2015","Journal of Systems and Software","10.1016/j.jss.2014.12.050","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923206097&doi=10.1016%2fj.jss.2014.12.050&partnerID=40&md5=c830da504c4358ecb8df3ae0102d1957","Free/Libre/Open Source Software (FLOSS) has gained a lot of attention lately allowing organizations to incorporate third party source code into their implementations. When open source software libraries are used, software resources may be linked directly or indirectly with multiple open source licenses giving rise to potential license incompatibilities. Adequate support in license use is vital in order to avoid such violations and address how diverse licenses should be handled. In the current work we investigate software licensing giving a critical and comparative overview of existing assistive approaches and tools. These approaches are centered on three main categories: license information identification from source code and binaries, software metadata stored in code repositories, and license modeling and associated reasoning actions. We also give a formalization of the license compatibility problem and demonstrate the role of existing approaches in license use decisions. © 2014 Elsevier Inc. All rights reserved.","Free/Libre/Open Source Software; License compatibility; License identification","Article","Scopus"
"Dubbeldam D.; Calero S.; Ellis D.E.; Snurr R.Q.","Dubbeldam, David (6701729641); Calero, Sofía (7003615005); Ellis, Donald E. (8736923900); Snurr, Randall Q. (7004265176)","6701729641; 7003615005; 8736923900; 7004265176","RASPA: Molecular simulation software for adsorption and diffusion in flexible nanoporous materials","2016","Molecular Simulation","10.1080/08927022.2015.1010082","947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942988620&doi=10.1080%2f08927022.2015.1010082&partnerID=40&md5=b2214b28d25d4ea67d6fa533a929d675","A new software package, RASPA, for simulating adsorption and diffusion of molecules in flexible nanoporous materials is presented. The code implements the latest state-of-the-art algorithms for molecular dynamics and Monte Carlo (MC) in various ensembles including symplectic/measure-preserving integrators, Ewald summation, configurational-bias MC, continuous fractional component MC, reactive MC and Baker's minimisation. We show example applications of RASPA in computing coexistence properties, adsorption isotherms for single and multiple components, self- and collective diffusivities, reaction systems and visualisation. The software is released under the GNU General Public License. © 2015 The Author(s). Published by Taylor & Francis.","adsorption; diffusion; molecular dynamics; molecular simulation; Monte Carlo; software","Article","Scopus"
