"Authors","Author full names","Author(s) ID","Titles","Year","Source title","DOI","Cited by","Link","Abstract","Author Keywords","Document Type","Source"
"Petrakis E.; Vlassis M.","Petrakis, Emmanuel (57208174300); Vlassis, Minas (56001698900)","57208174300; 56001698900","Endogenous scope of bargaining in a union-oligopoly model: When will firms and unions bargain over employment?","2000","Labour Economics","10.1016/S0927-5371(99)00043-3","40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034178957&doi=10.1016%2fS0927-5371%2899%2900043-3&partnerID=40&md5=ac6177406947da5727cfc171cd677121","The scope of firm-union bargaining is shown to be endogenously determined in a union-oligopoly model with decentralized negotiations. If the unions' power is sufficiently high, all bargaining units choose to negotiate over wages alone, i.e., universal right-to-manage bargaining emerges in equilibrium. Otherwise, wage/employment bargaining and right-to-manage bargaining coexist in the same industry. In equilibrium, some firm-union pairs will always choose to bargain over employment as well, since the firms become Stackelberg leaders in the market by committing to a particular output during the negotiations. The firms and their unions both benefit from the additional Stackelberg rents, provided that the unions' power is small enough. Our analysis suggests that there is not necessarily a negative relationship between unions' power and sectoral employment rates.","Decentralized bargaining; J50; J53; L13; Oligopoly; Scope of bargaining; Stackelberg leader; Unions","Article","Scopus"
"Cristóbal J.R.S.","Cristóbal, José Ramón San (55262675100)","55262675100","The use of game theory to solve conflicts in the project management and construction industry","2015","International Journal of Information Systems and Project Management","10.12821/ijispm030203","23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960361967&doi=10.12821%2fijispm030203&partnerID=40&md5=1cff2bb849b90fbbaeea74a6e0f9f92f","A typical construction project involves a wide range of disparate professionals, in many cases geographically distributed, working together for a relatively short period of time on the design and construction of a facility. Since organizations are becoming flatter, culturally rich, geographically diverse and intensely competitive, the possibilities for conflict in such environments are greater. Negotiation is an important aspect of a project and plays an important role in resolving claims, preventing disputes, and keeping a harmonious relationship between project participants. Part of any project manager’s role as a leader is to recognize conflict, understand the sources of conflict and manage it, and to do this a project manager must be able to understand the basics of negotiation theory and have sufficient competencies to lead in such situations. To address the complex technical and human issues in negotiation, different negotiation theories and models are available which mainly include game theory, economic theory, and behavior theory. Since Game Theory provides, by its very nature, the appropriate tools for the analysis and eventual solution of conflicts of any kind, this paper uses a model based on Game Theory in order to identify the activities that are responsible for the delays in a project and divide the costs among them. © 2015, SciKA.","Conflict; Game Theory; Negotiation; Project management","Article","Scopus"
"Sætersdal H.; Johannessen J.-A.","Sætersdal, Helene (57188838425); Johannessen, Jon-Arild (7101812429)","57188838425; 7101812429","The future of HR: Understanding knowledge management for motivation, negotiation, and influence","2019","The Future of HR: Understanding Knowledge Management for Motivation, Negotiation, and Influence","","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115938527&partnerID=40&md5=119a51caada0ad18032cf184df184f59","HR departments are in transition. From 1980 to today, HR management has shifted into a strategic function of the company. The globalisation, digitalisation and techno-focus of the modern workplace is at the centre of a new organizational design, and with change comes resistance, particularly for employees who see this new design as a threat to their positions. For people to keep up with technology, HR management must evolve to embrace these changes. Through a student-led perspective, leadership experts Jon-Arild Johannessen and Helene Sætersdal discuss how the HR department can develop to face the challenges of the 21st Century, including new roles and functions to create an ambidextrous organisation. With 51 reflection tasks throughout, Johannessen and Sætersdal help students explore how to reduce resistance to organisational change and create a healthy work environment, through techniques such as mindfulness, negotiation, and enthusiasm. This is an ideal read for any student of management and leadership looking to understand the challenges HR departments are facing, and how they can help change the way the game is played for the future of work. © 2019 Emerald Publishing Limited. All rights reserved.","","Book","Scopus"
"Chong V.K.; Loy C.Y.; Wang I.Z.; Woodliff D.R.","Chong, Vincent K. (7004645694); Loy, Chanel Y. (56736045500); Wang, Isabel Z. (57199509029); Woodliff, David R. (6506920897)","7004645694; 56736045500; 57199509029; 6506920897","The effect of negotiators’ role, leadership tone, and social value orientation on expected transfer prices: additional evidence","2021","Journal of Management Control","10.1007/s00187-021-00321-8","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107459733&doi=10.1007%2fs00187-021-00321-8&partnerID=40&md5=46337dd6a9e47a0cc08c649b21818a27","This study examines the effect of negotiators’ role (sellers vs. buyers), leadership tone (supportive vs. non-supportive), and social value orientation (prosocials vs. proselfs) on expected transfer prices outcomes as expressed by negotiation managers. Using a 2 × 2 experiment, we find that prosocial managers’ expected transfer prices are closer to an equal-profit price compared with those of proself managers. We further find that the transfer price expectation gap between proself selling managers and buying managers under a non-supportive leadership tone is larger than it is under a supportive leadership tone, suggesting that the negative effect of prosel. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","And negotiated transfer prices; Leadership tone; Negotiators’ role; Social value orientation","Article","Scopus"
"Yeboah-Assiamah E.; Gyekye-Jandoh M.A.A.; Asamoah K.; Adams S.","Yeboah-Assiamah, Emmanuel (56527124800); Gyekye-Jandoh, Maame Adwoa A. (56690387200); Asamoah, Kwame (56950997000); Adams, Samuel (23468473900)","56527124800; 56690387200; 56950997000; 23468473900","Henceforth, We Will Never Walk Alone: Empirical Study on the Benefits of Participatory Governance and Leadership","2022","Systemic Practice and Action Research","10.1007/s11213-021-09572-x","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107792056&doi=10.1007%2fs11213-021-09572-x&partnerID=40&md5=e6607a1ff16c177e60a2b11b5355f324","Moving beyond the ‘great man’ view of the organization which had regarded leaders as all-knowing and repository of knowledge and tactics, this study empirically examines how a flexible system of management (networked approach) provides benefits for organizations in terms of decisional breakthroughs and practical problem resolution in society. The study is underpinned by the system approach to leadership and a transdisciplinary framework which, strives for a flexible management system through greater interaction between leaders and their relevant stakeholders in organizational decision processes. Seventeen (17) cases were drawn from diverse organizational settings within public and private sectors of Ghana (Africa) to empirically demonstrate how networks in leadership proffer solutions to “ill-structured” and “moderately structured” challenges that confront organizations. The study observes that wicked problems are inevitable in organizations. We conclude that efforts at building bridges between leaders and their environment are not only good for human relations per se but remain the “lifeblood” for organizational breakthroughs, especially, in situations of critical challenges that involve complex decisions. The study concludes that although leaders may be well endowed in knowledge, skills, and abilities (KSAs), organizational issues in most cases go beyond familiar issues and from the ‘ordinary’ to ones that are subtle, complex, extraordinary, and sophisticated in nature and in most cases requiring social capital to liaise between the organization and other actors for successful negotiations and resolutions, not ‘quick-fix solutions’. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Cases; Flexibility; Leadership; Networks; Transdisciplinary; Wicked problems","Article","Scopus"
"Shmueli D.; Warfield W.; Kaufman S.","Shmueli, Deborah (7004432173); Warfield, Wallace (6507800956); Kaufman, Sanda (35614367100)","7004432173; 6507800956; 35614367100","Enhancing community leadership negotiation skills to build civic capacity","2009","Negotiation Journal","10.1111/j.1571-9979.2009.00223.x","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-64149084696&doi=10.1111%2fj.1571-9979.2009.00223.x&partnerID=40&md5=8248d37c2b1091a84464df0019387bdb","Most intra- and interorganizational decision making entails negotiations, and even naturally talented negotiators can improve with training. Executive trainings for managers and leadership programs for publicly elected officials, public managers, and nongovernmental organizations frequently include negotiation modules. These efforts, however, have yet to reach community leaders who also need to develop their negotiation skills. We propose that members of disadvantaged low-income communities who lack educational and economic opportunities, and are less able to advocate for their own interest, need to build and strengthen their civic capacity, including their negotiation skills, to become more effective parties to decisions affecting them. While many professionals and executives have access to training, such opportunities are less accessible to the leaders of these disadvantaged communities. Although such leaders draw from their own heuristic knowledge, skills, and abilities, they could also benefit from sharpening their negotiation skills. We propose that the multidimensional understanding of their community that members accumulate through direct experience is indispensable, nontransferable to outsiders, and not teachable through in-class activities. Leaders with the ability to leverage knowledge and assets to connect effectively to community insiders as well as to outside people, institutions, and resources, however, possess some specific inherent personality traits as well an understanding of social structures, strategies, and agency, which can be taught and learned. Such skills as how to conduct negotiations around the table and away from it and how to identify community members who can help and how to rally them are also teachable. The cases were chosen to illustrate the knowledge, skills, and abilities (KSAs) that make these leaders effective in and beyond their communities. We highlight those KSAs that we think are teachable in the framework of a negotiation module in community leadership training to enhance civic capacity for community betterment. © 2009 President and Fellows of Harvard College.","Civic capacity building; Leadership in disadvantaged communities; Negotiation executive training","Article","Scopus"
"Johnson B.","Johnson, Bruce (57203332805)","57203332805","Local school micropolitical agency: An antidote to new managerialism","2004","School Leadership and Management","10.1080/1363243042000266927","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47249158365&doi=10.1080%2f1363243042000266927&partnerID=40&md5=c04d55f2e0af67dd8f9e58a782fe65a8","This paper reports research into the micropolitical strategies used by five school leadership teams in the South Australian School-based Research and Reform Project. The research challenges many of the orthodoxies of educational managerialism. For example: the use of leadership teams made up of teachers, coordinators and senior school leaders reflected a commitment to distributive leadership and very flat leadership structures in each of the schools (rather than 'line management' structures); the leadership teams promoted key values as the driving force for reform (rather than leader inspired 'visions of reform'); leadership teams used non-linear and evolutionary planning approaches that were negotiated closely with participants (rather than 'strategic planning' approaches to goal setting driven by school leaders); and the main process vehicles used by leadership teams to further their schools' reform work were local action research and regular, dedicated staff workshops (rather than directives and accountability regimes). The paper analyses local school reform initiatives through a micropolitical frame. It is argued that micropolitical knowledge and insight is critical to the development of school practices that use the 'positive politics' of negotiation, collaboration and conflict resolution to address issues of local concern in schools, rather than the 'controlling politics' of new managerialism.","","Review","Scopus"
"Schott J.J.; Hufbauer G.C.","Schott, Jeffrey J. (14027346600); Hufbauer, Gary C. (6602829200)","14027346600; 6602829200","Whither the Free Trade Area of the Americas?","1999","World Economy","10.1111/1467-9701.00231","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0032820991&doi=10.1111%2f1467-9701.00231&partnerID=40&md5=da632f607846e3b4654dfa80644d005b","Leaders of 34 democratic nations in the Western Hemisphere reconvened in April 1998 at the Second Summit of the Americas in Santiago, Chile and agreed to launch negotiations on a Free Trade Area of the Americas (FTAA). The Declaration of Santiago reaffirmed the commitment issued at the Miami Summit of the Americas in December 1994 to conclude the talks 'no later than 2005, and to make concrete progress by the end of the century'. Negotiations began in earnest in Miami in September 1998 and trade ministers will meet in Toronto in early November 1999 to assess the progress to date. The FTAA process has had a star-crossed history since its inception at the Miami Summit in December 1994. Each summit meeting has been followed by serious financial crises in the region. These problems have tested national resolve to sustain economic and political reforms and to move forward with new Hemisphere-wide trade liberalisation. But each crisis also has induced new economic reforms, particularly in exchange rate regimes and the financial sector, and the reforms have enabled countries in Latin America to adapt more quickly to rapidly changing developments in global markets. In sum, the challenge of integration in the Americas is great, but so is its promise. In 1999, with recession in Latin America deepening, it is easy to be pessimistic about the prospects for the FTAA. Yet medium-term prospects for the region are encouraging, in large measure due to tremendous opportunities created by a decade of economic and political reforms. The Santiago Summit got the process off to a good start. The leaders formally launched the negotiations, established nine working groups to address the broad agenda of trade issues, and agreed on administrative procedures to manage the cumbersome process of engaging 34 countries in detailed trade negotiations. In addition, the leaders made two important decisions: to hold another summit hosted by Canada in 2001 or 2002; and to assign the United States and Brazil as co-chairs of the final two years for the FTAA negotiations, giving the leading economies in North and South America key responsibility for completing the deal. The manner of setting the stage does not ensure a prize-winning play; but at least the leaders are planning for success.","","Article","Scopus"
"Eaton S.C.; McKersie R.B.; Fonstad N.O.","Eaton, Susan C. (7102181884); McKersie, Robert B. (6603294535); Fonstad, Nils O. (56535384100)","7102181884; 6603294535; 56535384100","Taking stock of the kaiser permanente partnership story","2004","Negotiation Journal","10.1111/j.1571-9979.2004.00005.x","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-4444363850&doi=10.1111%2fj.1571-9979.2004.00005.x&partnerID=40&md5=6991c64ef49fc36f13ee3f866b9dfe16","The success of the 2000 interest-based contract negotiation at Kaiser Permanente (KP) does not mean that future challenges to this approach to negotiation have evaporated. Among the factors that contributed to the success thus far were: establishing buy-in to what was a new approach for many people; effective coordination in a complex environment; deadline pressure; managing internal negotiations; effective leadership; an investment in training; facilitation; creative brainstorming; and establishing ground rules. In addition to reviewing the KP experience, the authors focus on lessons learned and guidelines for future negotiations as well as the role of interest-based processes in an organization's daily routine.","","Review","Scopus"
"Salacuse J.W.","Salacuse, Jeswald W. (6602476288)","6602476288","Real leaders negotiate!: Gaining, using, and keeping the power to lead through negotiation","2017","Real Leaders Negotiate!: Gaining, Using, and Keeping the Power to Lead Through Negotiation","10.1057/978-1-137-59115-9","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054715597&doi=10.1057%2f978-1-137-59115-9&partnerID=40&md5=efda797ce42b619b19e6d48146ba8c8a","This book examines the central role of negotiation in gaining, exercising, and retaining leadership within organizations, large and small, public and private. Its aim is to instruct readers on the way to use negotiation to lead effectively. For far too long conventional wisdom has proposed that strong leaders refuse to negotiate, viewing negotiation as a sign of weakness. Leading people requires charisma, vision, and a commanding presence, not the tricks for making deals. For many executives, negotiation is a tool to use outside the organization to deal with customers, suppliers, and creditors. Inside the organization, it's strictly ""my way or the highway."" Salacuse explains that leaders can increase their effectiveness by using negotiation in each of the three phases of the leadership lifecycle: 1) leadership attainment, 2) leadership action; and 3) leadership preservation and loss. Drawing on experience in wide variety of settings, including the author's own leadership positions, the book will examine high profile leadership cases such as the rise and fall of Carly Fiorina at Hewlett-Packard, the skillful negotiations by Warren Buffet to save Salomon Brothers from extinction, and the successful efforts by the partners at Goldman Sachs to negotiate a new vision and direction for that financial giant. Leaders and managers should pick up this book to learn how effective negotiation is essential to both gaining and exercising leadership and to overcoming threats to a leader's position. © The Editor(s) (if applicable) and The Author(s) 2017. All rights reserved.","","Book","Scopus"
